is_return,oos_return,is_vol,oos_vol,is_sharpe,oos_sharpe,is_sortino,oos_sortino,is_drawdown,oos_drawdown
9.3,10.55,15.77,21.37,0.34,0.31,0.45,0.55,-19.4,-12.09
10.8,-2.57,22.12,14.79,0.31,-0.44,0.44,-0.62,-22.06,-11.74
-1.24,25.02,20.23,20.63,-0.26,1.02,-0.35,1.8,-35.39,-13.08
13.68,-23.41,20.46,28.01,0.47,-0.98,0.61,-1.14,-21.33,-23.81
-2.68,-2.77,18.56,22.0,-0.36,-0.31,-0.46,-0.47,-34.98,-13.41
5.23,-20.66,18.73,14.98,0.07,-1.65,0.09,-2.58,-23.09,-13.97
10.28,20.91,17.13,13.68,0.37,1.24,0.47,1.54,-28.22,-7.64
20.96,2.21,19.88,13.38,0.85,-0.13,1.28,-0.19,-17.36,-7.02
5.74,18.31,20.58,26.27,0.08,0.54,0.11,0.7,-22.43,-20.78
4.7,-0.76,19.88,21.43,0.04,-0.22,0.04,-0.32,-35.33,-14.44
-1.55,59.32,23.59,13.46,-0.24,4.11,-0.33,7.02,-36.68,-6.13
-0.39,58.82,20.59,16.11,-0.21,3.4,-0.28,4.9,-26.0,-6.07
25.32,53.41,19.16,14.73,1.11,3.36,1.67,5.03,-14.67,-5.86
13.13,39.79,18.45,14.59,0.49,2.45,0.69,2.71,-20.77,-6.0
-1.83,38.87,18.49,23.46,-0.32,1.49,-0.43,2.85,-34.42,-11.33
8.67,-14.15,16.52,21.56,0.28,-0.84,0.36,-1.2,-24.79,-19.02
13.99,34.24,18.95,21.65,0.53,1.4,0.76,2.42,-25.63,-8.07
4.64,-10.72,21.49,20.75,0.03,-0.71,0.04,-0.99,-27.11,-13.16
16.34,-26.48,22.44,18.57,0.55,-1.64,0.69,-2.53,-20.67,-18.72
24.85,46.1,18.11,19.52,1.15,2.16,1.53,3.57,-19.33,-9.18
18.46,18.04,17.76,17.86,0.81,0.79,1.14,1.08,-18.72,-9.06
0.96,6.13,20.79,15.33,-0.15,0.14,-0.2,0.18,-31.54,-12.79
-3.44,-1.61,22.66,13.18,-0.33,-0.43,-0.44,-0.73,-41.94,-10.12
-7.72,20.63,22.52,16.1,-0.52,1.03,-0.69,1.65,-50.78,-12.63
0.76,22.61,18.72,15.74,-0.17,1.18,-0.23,1.87,-19.98,-5.18
18.0,18.56,18.33,11.36,0.76,1.28,0.98,1.91,-23.79,-4.41
11.99,9.0,17.55,22.97,0.46,0.22,0.6,0.37,-23.1,-14.49
16.05,27.5,19.13,14.04,0.63,1.67,0.85,1.99,-27.91,-9.27
13.25,4.23,19.16,13.36,0.48,0.02,0.65,0.03,-28.0,-8.03
10.7,34.93,19.61,11.99,0.34,2.58,0.47,3.33,-29.97,-7.81
10.4,37.52,20.78,30.08,0.31,1.11,0.4,1.24,-17.48,-17.57
5.74,3.7,18.74,18.12,0.09,-0.02,0.13,-0.02,-47.4,-11.73
-3.12,-5.92,18.72,25.95,-0.38,-0.38,-0.49,-0.5,-32.48,-20.6
12.26,8.86,20.69,21.61,0.4,0.22,0.5,0.32,-27.97,-17.54
15.51,10.34,18.11,15.86,0.64,0.4,0.88,0.54,-17.97,-8.59
20.04,62.2,20.23,17.19,0.79,3.39,0.97,5.29,-18.53,-7.93
3.64,39.3,18.52,13.51,-0.02,2.61,-0.03,4.37,-34.1,-6.57
17.56,-20.6,17.11,19.68,0.79,-1.25,1.04,-1.7,-16.52,-13.09
10.09,13.65,17.9,23.6,0.34,0.41,0.46,0.56,-20.43,-12.45
12.4,35.25,19.97,24.52,0.42,1.27,0.53,2.29,-24.22,-6.37
-13.08,31.71,20.2,11.88,-0.85,2.33,-1.08,3.1,-53.86,-6.16
12.29,31.21,17.0,18.04,0.49,1.51,0.66,2.22,-23.1,-9.61
12.75,44.51,17.81,12.97,0.49,3.12,0.63,4.02,-20.1,-4.97
-6.19,14.25,18.85,21.73,-0.54,0.47,-0.73,0.59,-43.96,-10.95
26.12,26.26,15.73,19.58,1.41,1.14,1.96,1.68,-9.87,-10.84
4.68,8.16,20.21,21.18,0.03,0.2,0.05,0.3,-29.66,-15.61
2.29,3.42,18.91,13.4,-0.09,-0.04,-0.12,-0.05,-34.06,-8.7
8.1,-21.11,19.12,20.08,0.21,-1.25,0.3,-1.56,-22.25,-18.42
36.28,7.09,17.07,25.09,1.89,0.12,2.54,0.16,-15.4,-16.75
30.2,28.93,19.86,16.61,1.32,1.5,1.96,2.04,-17.74,-8.33
6.17,34.18,17.39,18.53,0.12,1.63,0.16,2.91,-22.57,-10.25
2.99,18.67,18.91,12.3,-0.05,1.19,-0.07,1.68,-31.23,-5.1
20.85,42.57,14.75,16.36,1.14,2.36,1.53,3.11,-10.92,-9.8
20.24,32.0,17.62,11.82,0.92,2.37,1.17,3.09,-16.88,-5.65
0.65,13.05,20.67,43.31,-0.16,0.21,-0.21,0.42,-38.72,-21.13
2.23,59.0,21.63,17.52,-0.08,3.14,-0.11,5.12,-36.91,-6.18
9.14,-22.49,14.87,21.34,0.35,-1.24,0.48,-1.74,-19.59,-20.74
14.24,10.39,21.39,15.25,0.48,0.42,0.61,0.58,-25.33,-8.56
5.91,-34.68,20.86,20.55,0.09,-1.88,0.12,-3.23,-31.51,-23.88
12.49,30.79,20.06,15.28,0.42,1.75,0.62,3.11,-16.62,-5.36
6.91,106.19,17.19,22.93,0.17,4.46,0.23,8.12,-22.79,-5.08
3.55,22.65,20.84,13.02,-0.02,1.43,-0.03,2.31,-28.77,-5.35
18.24,8.19,23.6,27.82,0.6,0.15,0.85,0.27,-20.01,-13.52
10.95,-9.94,20.8,16.24,0.33,-0.86,0.44,-1.04,-31.29,-10.83
14.63,-14.31,16.87,19.85,0.63,-0.92,0.86,-1.68,-34.03,-20.11
0.74,6.8,20.55,22.17,-0.16,0.13,-0.22,0.19,-21.66,-17.37
17.61,11.52,16.94,17.29,0.8,0.43,1.08,0.63,-19.84,-9.23
16.03,32.26,17.9,12.56,0.67,2.25,0.86,3.24,-22.19,-4.05
18.11,-21.69,18.32,17.26,0.77,-1.49,1.04,-2.04,-20.45,-16.11
0.22,3.0,17.44,20.51,-0.22,-0.05,-0.31,-0.06,-27.44,-12.95
-0.48,-6.74,20.97,23.08,-0.21,-0.47,-0.28,-0.58,-36.77,-15.05
10.67,67.94,18.98,19.13,0.35,3.34,0.47,5.97,-20.31,-7.96
9.55,60.75,18.0,16.62,0.31,3.41,0.43,5.29,-33.63,-5.8
3.81,29.44,17.58,16.69,-0.01,1.52,-0.01,2.25,-19.05,-8.55
12.95,0.84,17.52,23.28,0.51,-0.14,0.73,-0.25,-17.72,-15.34
0.43,19.23,20.5,11.69,-0.17,1.3,-0.25,1.56,-42.3,-8.03
2.07,15.94,21.74,15.19,-0.09,0.79,-0.12,0.93,-31.16,-11.77
11.43,47.82,14.24,18.35,0.52,2.39,0.72,4.0,-12.97,-5.9
-3.38,9.1,17.38,18.73,-0.42,0.27,-0.59,0.39,-34.45,-13.08
18.26,17.69,17.06,13.74,0.84,1.0,1.08,1.64,-13.23,-9.28
24.86,-29.01,16.41,25.41,1.27,-1.3,1.83,-1.55,-12.35,-21.41
-0.1,-35.57,22.03,20.19,-0.19,-1.96,-0.27,-2.44,-34.02,-23.0
3.76,3.13,19.54,18.84,-0.01,-0.05,-0.02,-0.06,-23.5,-9.5
4.66,56.91,17.32,22.47,0.04,2.35,0.05,2.94,-25.32,-14.51
16.58,-2.14,21.89,16.88,0.57,-0.36,0.7,-0.46,-21.07,-17.29
1.89,34.06,20.96,15.54,-0.1,1.93,-0.13,2.62,-29.23,-6.77
5.62,-16.65,19.76,24.02,0.08,-0.86,0.1,-1.2,-25.08,-22.47
-9.15,36.46,22.65,27.92,-0.58,1.16,-0.73,2.14,-40.48,-9.23
-10.82,5.8,21.07,19.3,-0.7,0.09,-1.0,0.14,-41.51,-9.14
10.56,22.54,17.02,15.54,0.39,1.19,0.52,1.95,-20.27,-8.59
11.89,59.62,18.62,19.26,0.42,2.89,0.56,5.45,-18.97,-8.37
11.63,-12.91,20.82,18.83,0.37,-0.9,0.53,-1.28,-26.36,-18.45
18.47,48.57,17.72,18.77,0.82,2.37,1.09,4.13,-14.89,-8.53
3.02,5.86,19.61,29.39,-0.05,0.06,-0.07,0.07,-30.16,-23.81
-5.44,1.1,20.9,18.68,-0.45,-0.16,-0.63,-0.23,-38.12,-14.77
33.5,-19.79,16.56,25.07,1.78,-0.95,2.53,-1.59,-16.26,-16.53
6.15,25.17,19.38,18.68,0.11,1.13,0.15,1.86,-32.96,-13.05
8.51,-37.26,19.23,20.88,0.23,-1.98,0.34,-3.29,-24.3,-20.79
6.53,21.41,20.31,16.02,0.12,1.09,0.16,1.39,-31.13,-10.48
-1.95,16.7,23.16,16.61,-0.26,0.76,-0.33,1.28,-32.41,-8.73
0.23,52.42,17.38,23.22,-0.22,2.08,-0.29,3.68,-23.39,-9.7
0.21,-14.18,25.45,24.2,-0.15,-0.75,-0.21,-1.12,-21.58,-24.73
-0.28,-20.83,26.06,19.06,-0.16,-1.3,-0.25,-1.88,-37.98,-17.65
