,ALGN,AAPL,PANW,AMD,ZS,MDLZ,XEL,VRSN,INSM,ON,WDAY,ENPH,DLTR,ADI,COST,ABNB,CEG,MSFT,GOOGL,CDNS,PYPL,FAST,JD,MTCH,SNPS,LULU,CMCSA,ADBE,ADSK
2023-11-30,0.009738968528515968,0.6933911901262497,0.8226578684873755,0.6529439361616114,0.5960079532738605,0.12732635367082323,0.6830394156193023,0.0006685807201118887,0.5524818867105422,0.19997225186075118,0.7606533879893558,0.8977235720058133,0.5052635662201996,0.02885917624266454,0.8355524008540189,0.44700319227841434,0.6794522603843334,0.8298937590202196,0.8651717575798128,0.8728877512119213,0.7075323557971996,0.798001267757914,0.8506749447978506,0.15946884212010926,0.9129531267503501,0.6493472521804309,0.7063233738756232,0.869920559147664,0.12957891206299088
2023-12-29,0.09068948433532031,0.6762779747102282,0.8450033756083948,0.6496129246881681,0.7034240194678345,0.09623200645938912,0.5525588710304665,0.013655369917692894,0.6620830271370752,0.07138444898064222,0.7715059332166286,0.8272556843137584,0.45424159753571347,0.02379727971480372,0.8345829850998732,0.3868201839011022,0.8354458547596971,0.8284406048948546,0.8438250924415074,0.8759940913123813,0.7322857397955976,0.8144213373771234,0.8279979558816605,0.19785100374669007,0.9161539276502932,0.7758398686314358,0.627908074465971,0.877855928397022,0.22089839621778495
2024-01-31,0.336088294586238,0.6032308942991875,0.8551681303834775,0.6429228596743484,0.7589873832729248,0.08145350179929733,0.3941931266640035,0.05522837210155207,0.7807297950509017,0.013142784363970317,0.7736099296337231,0.781318497346178,0.3537034007755765,0.002844262213228421,0.8298811767124242,0.30650641686718716,0.8764001670357738,0.8284643655195381,0.8233216196361032,0.8900287940368785,0.6252906479025622,0.7988270382253375,0.8370647125788729,0.11338639992058774,0.889194483104479,0.797008488308396,0.6090729000816645,0.8622764608590358,0.3345711525939644
2024-02-29,0.2665782022241614,0.4671984018708164,0.8328916100825866,0.6598788294701852,0.8837839733294554,0.039465762060915344,0.3608794356962035,0.16544240308087954,0.8848465997416078,0.05223468411377652,0.8021616986489121,0.6768044459558813,0.1741329836087735,0.013986372877393127,0.8794487782960868,0.4261739496525474,0.9149904591839055,0.8316510200263045,0.797483667083495,0.8875218190347973,0.5180143673341047,0.8132502357180065,0.8504678206569648,0.04283023809762854,0.8932344809726716,0.7724693984120521,0.5144671743936238,0.8146243899007223,0.6554109160363641
2024-03-28,0.16081568542893188,0.13978665959825265,0.7612250250356446,0.6905278666414123,0.8343752036875913,0.0006014885819057847,0.48955306446629887,0.6117192673999183,0.8537549365423386,0.14001760372209504,0.7692700441892065,0.5531507553079,0.11052120866537218,0.06990834772096999,0.8949336880060271,0.5319010757448992,0.8839447860682977,0.842953253408326,0.7620029404444189,0.8893733770967015,0.3271233174994269,0.819220192179171,0.7880722847037032,0.06994577857033557,0.8888989540517873,0.6665265838712602,0.3397374139281032,0.6433766338352125,0.7449138405094149
2024-04-30,0.058580057349038595,0.00868590054593077,0.6294878665208896,0.6644036091602337,0.6449374667136292,0.034582481759964256,0.44454797797521395,0.7316390137733144,0.7213830545804182,0.4350359340951314,0.6638281134530521,0.4152812162446976,0.06612774177384828,0.18685442606319036,0.9057829898100369,0.55883664507273,0.8742665688488191,0.825024483483038,0.7742128898167246,0.8634947405389233,0.07342362637900268,0.8146607845743874,0.6564556152649685,0.20240902025391205,0.8264409317406981,0.2365728736899848,0.02810245786621457,0.29059011231501475,0.6141226382987202
2024-05-31,0.085697861701579,0.03198898919323945,0.5428396024665483,0.636649408821659,0.3903270332857929,7.359258482964037e-05,0.3557483929833729,0.7299819875581697,0.4703073058216253,0.5976179137568705,0.38255430649570477,0.28384325407068345,0.03401003214520071,0.3370719544966324,0.9122026323447932,0.44593579397762406,0.8667064072651042,0.8199493828529976,0.7819255313549253,0.7945801624416315,0.016828765798574064,0.7449620092642334,0.3179546932666052,0.579437734020165,0.799589494478585,0.006175164848386427,0.08100882295017409,0.0038640882197603643,0.32508993461237157
2024-06-28,0.1012379812619244,0.01735430497932866,0.5305415790107103,0.6668145573915167,0.26015823957919204,0.0038184626709591996,0.3269617332838477,0.7228039561060986,0.443977086362758,0.6170049075971921,0.08813077973265038,0.12067254942571592,0.07161319066736149,0.5024066705162199,0.9232450919947671,0.35123865714766556,0.8826235618481206,0.8593249036137754,0.8047346213227058,0.791087096042963,0.0016159995182427611,0.615895424820626,0.15942285608501638,0.6212212847873708,0.8004303796390131,0.059350921979448246,0.4298963546831742,0.06477485722249954,0.25012288340062316
2024-07-31,0.06991592896461984,0.271957199642364,0.5692412451961836,0.6120459749028587,0.15267852318465347,0.013225249922683813,0.1962952856286535,0.7084409751720815,0.5252785968053577,0.4742242244216356,0.0042328641012461254,0.007604991991674526,0.06604573262137681,0.7386619594879302,0.9375272826355608,0.39353621647984727,0.8553229366482128,0.8921520182812662,0.8100348456839981,0.6679224598536657,0.07269820572558916,0.5364651529429032,0.04429754118983875,0.49908976441430397,0.7434987044765259,0.2774858400723633,0.6297268089029479,0.09188211020459958,0.26288365457298435
2024-08-30,0.03439366009388489,0.42587803010856995,0.5091383807198466,0.41602901006903636,0.020263806298685516,0.0033927472775859835,0.044121828919414297,0.7206696996783948,0.6121515310193051,0.3064797183210237,0.01219132888412533,0.014893784968001533,0.10680498569848729,0.7928876301124493,0.9349310506043289,0.04244600746467464,0.8084058269081303,0.7695375857614066,0.7612470964831722,0.3585104500528893,0.298986410693593,0.4259821440525231,0.0057042543349979935,0.19552280068909889,0.45567809217108113,0.5289592860546637,0.54312299524997,0.11955505881260664,0.22349325811810472
