is_return,oos_return,is_vol,oos_vol,is_sharpe,oos_sharpe,is_sortino,oos_sortino,is_drawdown,oos_drawdown
13.7,-24.19,16.0,12.66,0.61,-2.23,0.87,-2.91,-18.18,-14.9
4.8,-1.48,17.38,10.64,0.05,-0.52,0.06,-0.97,-18.91,-7.85
6.42,23.93,13.59,13.44,0.18,1.48,0.29,2.11,-11.4,-5.76
-11.67,16.61,15.76,12.28,-0.99,1.03,-1.35,1.57,-41.2,-4.84
8.96,6.67,16.78,15.8,0.3,0.17,0.41,0.25,-15.42,-11.46
9.18,-0.65,18.73,9.69,0.28,-0.48,0.36,-0.68,-21.03,-7.08
12.64,-13.76,19.95,21.57,0.43,-0.82,0.6,-1.19,-22.37,-23.91
-2.12,-3.69,17.0,13.83,-0.36,-0.56,-0.46,-0.75,-35.57,-10.22
7.57,-3.23,17.2,13.06,0.21,-0.55,0.28,-0.87,-20.9,-11.26
9.46,32.58,16.92,18.13,0.32,1.58,0.49,2.62,-16.45,-9.29
5.44,24.55,14.77,21.93,0.1,0.94,0.14,1.06,-24.95,-9.74
14.72,10.57,16.2,14.15,0.66,0.46,0.87,0.66,-24.52,-12.6
14.54,15.88,16.1,18.02,0.65,0.66,0.84,1.17,-19.58,-7.49
6.27,3.89,16.57,14.52,0.14,-0.01,0.2,-0.01,-19.86,-8.26
23.64,-0.75,16.45,15.14,1.19,-0.31,1.69,-0.5,-17.13,-15.79
13.23,-18.14,16.74,26.27,0.55,-0.84,0.77,-1.12,-14.5,-15.75
-2.18,49.34,12.32,17.85,-0.5,2.54,-0.7,3.6,-23.61,-7.45
21.16,7.38,16.06,12.98,1.07,0.26,1.56,0.42,-19.44,-9.06
11.77,17.08,17.2,16.3,0.45,0.8,0.66,1.16,-20.02,-10.39
2.22,-0.82,15.94,11.36,-0.11,-0.42,-0.15,-0.56,-30.07,-9.21
1.56,9.32,16.12,25.03,-0.15,0.21,-0.19,0.25,-23.48,-20.1
17.74,-20.78,15.81,17.65,0.87,-1.4,1.17,-1.97,-18.82,-15.61
12.63,3.05,15.76,15.59,0.55,-0.06,0.84,-0.1,-14.7,-9.61
16.78,2.46,19.38,15.78,0.66,-0.1,0.89,-0.13,-23.22,-9.78
15.13,3.66,14.44,25.28,0.77,-0.01,1.14,-0.02,-17.13,-19.94
3.58,11.09,16.26,19.03,-0.03,0.37,-0.03,0.53,-17.53,-13.39
13.12,-30.25,17.01,15.3,0.54,-2.24,0.76,-2.65,-20.07,-19.73
4.61,13.58,15.93,11.82,0.04,0.81,0.05,1.44,-26.36,-6.63
-1.11,35.17,17.17,14.89,-0.3,2.09,-0.42,3.17,-21.07,-8.37
-0.01,5.25,14.66,16.5,-0.27,0.08,-0.4,0.11,-24.72,-9.99
7.65,34.85,18.03,24.31,0.2,1.27,0.28,1.84,-23.78,-14.91
12.3,-21.95,16.9,24.82,0.49,-1.05,0.67,-1.42,-15.19,-21.98
15.01,59.09,17.29,13.25,0.64,4.16,0.86,7.43,-23.98,-3.18
26.13,25.74,14.22,15.44,1.56,1.41,2.17,2.27,-14.38,-6.27
-3.3,35.76,13.28,15.36,-0.55,2.07,-0.71,3.86,-16.82,-8.09
1.84,24.28,14.67,15.7,-0.15,1.29,-0.2,1.92,-23.36,-5.9
