is_return,oos_return,is_vol,oos_vol,is_sharpe,oos_sharpe,is_sortino,oos_sortino,is_drawdown,oos_drawdown
18.49,41.16,15.37,15.99,0.94,2.32,1.37,4.01,-15.34,-6.12
6.91,7.14,15.8,12.81,0.18,0.24,0.24,0.35,-20.23,-7.32
-4.98,0.03,16.53,13.55,-0.54,-0.29,-0.72,-0.46,-35.5,-11.75
-3.85,11.73,17.33,8.15,-0.45,0.95,-0.68,1.6,-24.87,-3.54
-7.64,-3.08,17.41,21.07,-0.67,-0.34,-0.89,-0.5,-42.17,-14.5
10.62,-11.05,17.96,25.34,0.37,-0.59,0.45,-0.77,-22.86,-13.85
14.0,41.92,16.09,17.51,0.62,2.17,0.88,3.43,-22.13,-5.14
-2.89,-19.14,16.37,25.55,-0.42,-0.91,-0.6,-0.91,-31.26,-20.74
27.51,40.11,18.8,15.19,1.25,2.38,1.88,3.81,-13.08,-7.04
7.78,11.8,13.68,13.67,0.28,0.57,0.39,1.11,-19.33,-5.0
16.62,3.49,20.34,23.19,0.62,-0.02,0.87,-0.04,-19.33,-16.3
1.83,21.26,18.09,12.42,-0.12,1.39,-0.16,1.82,-21.44,-7.24
-6.15,43.53,14.72,19.85,-0.69,1.99,-0.98,2.54,-31.35,-13.09
8.15,12.21,15.22,13.41,0.27,0.61,0.36,1.03,-28.71,-8.06
-4.69,0.09,15.51,12.22,-0.56,-0.32,-0.79,-0.45,-28.33,-8.6
17.94,31.95,16.78,17.6,0.83,1.59,1.15,2.35,-16.54,-10.45
5.46,-11.5,14.52,13.98,0.1,-1.11,0.14,-1.68,-32.98,-10.52
6.28,-9.03,12.99,33.8,0.18,-0.39,0.25,-0.46,-14.89,-22.37
20.41,-9.11,12.36,15.81,1.33,-0.83,1.97,-1.08,-16.06,-11.56
3.0,-29.96,16.06,23.27,-0.06,-1.46,-0.09,-1.91,-17.47,-23.96
2.47,-15.22,13.38,15.76,-0.11,-1.22,-0.17,-1.63,-21.28,-16.89
-4.25,-5.68,15.3,12.06,-0.54,-0.8,-0.69,-1.21,-36.64,-7.28
9.08,32.43,19.19,13.06,0.26,2.18,0.34,3.34,-21.03,-6.39
15.49,-26.42,16.65,16.96,0.69,-1.79,0.93,-2.08,-20.13,-15.08
9.49,2.26,19.77,11.92,0.28,-0.15,0.34,-0.21,-27.12,-4.88
8.7,-27.16,16.33,20.92,0.29,-1.49,0.4,-1.99,-22.09,-22.67
-0.72,36.0,16.17,17.77,-0.29,1.8,-0.39,2.45,-25.17,-7.35
11.18,29.32,14.88,22.8,0.48,1.11,0.8,1.38,-14.93,-14.69
6.28,16.29,15.79,14.51,0.14,0.85,0.19,1.04,-22.36,-11.16
-2.13,-10.16,17.54,9.02,-0.35,-1.57,-0.43,-2.52,-34.68,-7.66
7.54,63.67,16.68,13.06,0.21,4.57,0.28,7.52,-15.98,-3.75
7.93,-38.54,12.92,28.84,0.3,-1.47,0.44,-2.04,-15.96,-25.95
-3.02,61.54,13.93,12.07,-0.5,4.77,-0.72,6.52,-26.05,-3.15
7.55,24.48,13.78,26.02,0.26,0.79,0.33,1.47,-17.16,-14.47
6.23,6.72,14.51,11.23,0.15,0.24,0.24,0.38,-14.51,-6.69
0.14,59.59,18.03,29.41,-0.21,1.89,-0.29,2.62,-29.22,-12.59
10.95,34.0,14.44,10.58,0.48,2.83,0.62,4.62,-18.67,-4.19
-8.61,-4.03,16.99,14.14,-0.74,-0.57,-0.98,-0.95,-40.62,-5.93
5.87,-14.38,17.46,18.63,0.11,-0.99,0.14,-1.19,-30.24,-18.92
10.18,-28.53,16.25,12.92,0.38,-2.52,0.51,-3.54,-19.6,-17.19
5.66,26.4,17.67,12.45,0.09,1.8,0.13,3.08,-19.62,-6.37
-1.58,-23.41,17.0,14.11,-0.33,-1.94,-0.45,-2.99,-29.63,-14.65
18.07,13.72,19.24,14.18,0.73,0.69,0.91,0.99,-26.76,-7.84
8.19,22.79,15.56,10.62,0.27,1.77,0.37,2.65,-21.62,-3.78
11.64,55.03,17.84,12.79,0.43,3.99,0.61,7.04,-17.88,-3.89
11.85,-3.0,17.61,21.32,0.45,-0.33,0.59,-0.43,-21.58,-11.41
-1.91,-4.43,20.48,14.03,-0.29,-0.6,-0.36,-0.86,-41.5,-12.15
4.91,5.12,16.51,8.97,0.06,0.12,0.06,0.23,-39.28,-4.06
3.19,29.48,16.39,22.01,-0.05,1.16,-0.07,1.62,-23.03,-13.21
4.05,37.59,16.01,18.39,0.0,1.83,0.0,3.16,-15.31,-6.76
14.16,5.15,20.15,17.94,0.5,0.06,0.7,0.09,-17.68,-9.28
7.98,14.02,19.02,20.03,0.21,0.5,0.27,0.71,-35.67,-9.44
16.69,39.91,14.98,21.56,0.85,1.67,1.36,2.46,-15.43,-8.03
0.96,-9.34,17.15,19.29,-0.18,-0.69,-0.22,-0.82,-25.2,-12.13
13.94,8.13,17.93,15.62,0.55,0.26,0.82,0.42,-13.7,-10.45
-0.62,-13.2,15.17,12.03,-0.3,-1.43,-0.42,-1.9,-29.21,-7.91
9.7,-15.53,14.73,14.86,0.39,-1.31,0.59,-1.68,-15.93,-13.26
16.06,-0.99,19.59,16.37,0.62,-0.3,0.86,-0.43,-16.38,-13.77
3.58,13.84,18.84,13.86,-0.02,0.71,-0.03,1.11,-23.88,-6.52
0.66,-14.92,20.91,11.77,-0.16,-1.61,-0.21,-2.38,-23.32,-11.55
2.05,-22.76,15.39,18.77,-0.13,-1.43,-0.17,-1.76,-28.28,-15.31
9.93,-3.09,18.17,20.41,0.33,-0.35,0.41,-0.51,-25.53,-17.47
22.5,28.44,16.26,16.61,1.14,1.47,1.66,1.85,-16.78,-10.83
11.76,36.61,18.98,15.93,0.41,2.05,0.56,4.3,-27.81,-8.8
11.41,36.1,14.59,14.12,0.51,2.27,0.75,3.22,-16.45,-5.99
-1.53,36.81,17.34,13.79,-0.32,2.38,-0.46,4.0,-31.76,-7.48
10.21,-8.25,15.36,13.74,0.4,-0.89,0.61,-1.44,-23.41,-13.32
-3.31,6.16,17.17,15.85,-0.43,0.14,-0.62,0.16,-36.45,-9.98
5.0,19.65,19.09,14.02,0.05,1.12,0.07,1.64,-24.2,-10.19
0.7,-5.23,17.36,13.04,-0.19,-0.71,-0.24,-1.16,-32.0,-12.99
2.19,19.42,18.71,20.16,-0.1,0.76,-0.14,1.05,-36.17,-12.74
11.57,68.07,17.81,20.73,0.43,3.09,0.56,4.8,-29.42,-8.47
5.68,5.74,17.5,14.19,0.1,0.12,0.13,0.18,-20.91,-6.94
21.17,-4.8,17.86,22.61,0.96,-0.39,1.39,-0.63,-24.63,-13.0
12.32,2.62,14.81,24.92,0.56,-0.06,0.78,-0.07,-29.1,-10.35
10.84,-1.51,14.76,19.39,0.46,-0.28,0.64,-0.32,-18.56,-10.73
7.2,-4.05,16.16,12.24,0.2,-0.66,0.26,-0.87,-20.58,-9.58
-4.57,11.7,14.28,11.93,-0.6,0.64,-0.81,1.02,-33.67,-9.7
-7.65,7.76,16.72,9.28,-0.7,0.4,-0.93,0.7,-37.47,-7.67
-5.71,-4.12,15.42,10.03,-0.63,-0.81,-0.82,-0.99,-30.83,-6.89
-0.66,87.59,16.45,22.65,-0.28,3.69,-0.42,6.76,-24.33,-7.08
0.7,-3.38,12.91,10.56,-0.26,-0.7,-0.34,-0.95,-28.63,-9.18
19.55,6.43,15.36,22.5,1.01,0.11,1.43,0.17,-12.63,-11.37
-3.57,-33.98,15.95,22.14,-0.47,-1.72,-0.62,-2.04,-32.61,-27.17
7.07,1.53,16.75,15.45,0.18,-0.16,0.25,-0.25,-24.31,-13.75
15.47,1.74,19.26,18.97,0.6,-0.12,0.93,-0.18,-15.98,-14.97
-2.11,3.19,15.47,14.78,-0.39,-0.05,-0.54,-0.07,-33.94,-10.75
1.77,-4.69,15.86,11.12,-0.14,-0.78,-0.18,-1.14,-26.32,-10.46
-5.63,-7.11,14.23,24.63,-0.68,-0.45,-0.93,-0.66,-25.32,-12.04
9.59,-20.58,15.68,19.56,0.36,-1.26,0.47,-1.75,-20.03,-13.26
8.77,30.13,16.55,19.94,0.29,1.31,0.39,1.92,-27.16,-8.6
5.92,51.53,20.13,15.68,0.1,3.03,0.13,4.38,-25.56,-6.61
13.79,57.07,17.36,22.5,0.56,2.36,0.83,3.75,-27.68,-8.56
13.83,39.11,17.28,14.14,0.57,2.48,0.73,3.69,-20.52,-5.75
-5.31,-0.1,15.89,24.44,-0.59,-0.17,-0.78,-0.22,-33.71,-13.6
21.68,-36.34,21.47,32.48,0.82,-1.24,1.12,-1.84,-16.62,-24.91
7.4,-16.1,18.5,15.97,0.18,-1.26,0.28,-1.52,-26.05,-15.98
6.11,19.43,18.98,14.28,0.11,1.08,0.14,1.64,-27.91,-5.25
18.74,42.96,20.8,14.02,0.71,2.78,0.97,3.83,-26.99,-5.39
0.19,54.62,14.46,16.44,-0.26,3.08,-0.32,5.92,-25.99,-3.58
