date,current_value,cum_pnl
2022-11-04,109344.09526168824,775.7858040618895
2022-11-07,107854.4697467041,-713.8397109222414
2022-11-08,108718.21066944124,149.9012118148803
2022-11-09,107618.31206958772,-949.9973880386353
2022-11-10,112214.54109008788,3646.2316324615476
2022-11-11,110585.3621485901,2017.0526909637454
2022-11-14,109308.54977973938,740.240322113037
2022-11-15,110281.81580574036,1713.5063481140137
2022-11-16,111315.77632411956,2747.466866493225
2022-11-17,109019.50802791596,451.19857028961195
2022-11-18,111854.12860244751,3285.8191448211674
2022-11-21,112116.24698955537,3547.937531929016
2022-11-22,112630.2719114685,4061.962453842163
2022-11-23,113671.44771110534,5103.138253479004
2022-11-25,114387.05000350953,5818.740545883179
2022-11-28,112938.12073223115,4369.811274604797
2022-11-29,112456.21947288513,3887.9100152587894
2022-11-30,115527.97952930452,6959.670071678162
2022-12-01,115568.45734180452,1605.3263895034795
2022-12-02,115167.2318315506,1204.1008792495734
2022-12-05,114259.8258518219,296.6948995208745
2022-12-06,114382.18817230224,419.05722000122137
2022-12-07,115018.55164848329,1055.4206961822517
2022-12-08,116828.94834842681,2865.817396125794
2022-12-09,116895.09251247408,2931.9615601730347
2022-12-12,119990.85867675782,6027.727724456789
2022-12-13,120165.3515261841,6202.220573883058
2022-12-14,119525.00959323884,5561.878640937806
2022-12-15,118665.70940986634,4702.578457565309
2022-12-16,117407.96973869324,3444.8387863922126
2022-12-19,117369.40479553223,3406.2738432312017
2022-12-20,118108.11931228638,4144.988359985353
2022-12-21,119786.0657157898,5822.934763488771
2022-12-22,119815.67144348146,5852.540491180421
2022-12-23,121042.61910243989,7079.488150138855
2022-12-27,122067.32185092926,8104.190898628236
2022-12-28,121346.54648952486,7383.4155372238165
2022-12-29,121958.62456447602,7995.493612174989
2022-12-30,120924.41810066224,6961.287148361207
2023-01-03,122086.8951850891,1657.4696544647175
2023-01-04,123190.52925624847,2761.10372562408
2023-01-05,121128.07633890152,698.650808277126
2023-01-06,122507.55614141464,2078.1306107902487
2023-01-09,123134.64990463256,2705.2243740081744
2023-01-10,123113.57981924056,2684.154288616176
2023-01-11,123255.1702597618,2825.7447291374165
2023-01-12,124132.70444566726,3703.278915042873
