,date,ticker,shares_holding,current_price,current_value,yesterday_value,return_change,pnl_dollar,entry_price,cum_pnl,weight,shares_change,is_rebalance_day,ym
11261,2023-07-03,ED,526.4,82.13531494140625,43236.02978515625,0.0,0.0,0.0,82.13531494140625,0.0,0.33333442731494684,526.4,True,202307
11264,2023-07-03,ETR,976.27,44.286598205566406,43235.677230148314,0.0,0.0,0.0,44.286598205566406,0.0,0.33333170924110306,976.27,True,202307
11279,2023-07-03,XEL,760.27,56.86921310424805,43235.95664676666,0.0,0.0,0.0,56.86921310424805,0.0,0.3333338634439501,760.27,True,202307
11851,2023-08-01,AEP,584.06,75.2061538696289,43924.90622909545,0.0,0.0,-0.0,75.2061538696289,0.0,0.333006646982742,584.06,True,202308
11869,2023-08-01,NEE,660.1300000000001,66.53978729248047,43924.90978538514,0.0,0.0,-0.0,66.53978729248047,0.0,0.3330066739439403,660.1300000000001,True,202308
11879,2023-08-01,XEL,776.26,56.7518310546875,44054.17637451172,43064.33151786804,0.001913023497068372,82.38307807922364,56.866795178588504,-89.24205081939317,0.33398667907331775,15.990000000000009,True,202308
12549,2023-09-01,DTE,438.35,92.20780181884766,40419.28992729187,0.0,0.0,-0.0,92.20780181884766,0.0,0.33333327978738186,438.35,True,202309
12555,2023-09-01,EVRG,845.19,47.82276153564453,40419.3198223114,0.0,0.0,-0.0,47.82276153564453,0.0,0.3333335263282025,845.19,True,202309
12562,2023-09-01,PCG,2498.45,16.17774200439453,40419.27951087951,0.0,0.0,0.0,16.17774200439453,0.0,0.3333331938844157,2498.45,True,202309
13144,2023-10-02,AWK,331.83,112.05120086669922,37181.9499835968,0.0,0.0,-0.0,112.05120086669922,0.0,0.33333354425560074,331.83,True,202310
13152,2023-10-02,EIX,699.07,53.18753433227539,37181.80962566376,0.0,0.0,-0.0,53.18753433227539,0.0,0.33333228595668674,699.07,True,202310
13159,2023-10-02,NEE,767.9900000000001,48.41471862792969,37182.019759063725,0.0,0.0,-0.0,48.41471862792969,0.0,0.33333416978771246,767.9900000000001,True,202310
13804,2023-11-01,AWK,352.65,111.16227722167969,39201.377062225336,36529.90524879455,0.009774818720264764,357.073201675415,111.9987199641349,-294.971533126833,0.3339621462267388,20.819999999999993,True,202311
13808,2023-11-01,D,1108.23,35.273128509521484,39090.73920810699,0.0,0.0,-0.0,35.273128509521484,0.0,0.3330196065002228,1108.23,True,202311
13813,2023-11-01,ES,835.98,46.76018524169922,39090.57965835572,0.0,0.0,-0.0,46.76018524169922,0.0,0.3330182472730384,835.98,True,202311
14446,2023-12-01,EXC,1253.52,35.8101692199707,44888.763320617676,0.0,0.0,0.0,35.8101692199707,0.0,0.3333340074820167,1253.52,True,202312
14449,2023-12-01,NEE,810.5700000000002,55.37891387939453,44888.48622322083,0.0,0.0,0.0,55.37891387939453,0.0,0.33333194981816233,810.5700000000002,True,202312
14450,2023-12-01,NI,1849.81,24.266691207885742,44888.76806325912,0.0,0.0,0.0,24.266691207885742,0.0,0.333334042699821,1849.81,True,202312
15030,2024-01-02,AEE,655.05,68.5465316772461,44901.40557518005,0.0,0.0,0.0,68.5465316772461,0.0,0.33302299855407724,655.05,True,202401
15046,2024-01-02,EXC,1344.26,33.49568557739258,45026.91029426575,41331.276773986814,0.015877443481236733,656.2350109863281,35.653937355801915,-2901.251535644535,0.33395383707343335,90.74000000000001,True,202401
15054,2024-01-02,PNW,680.51,65.98202514648438,44901.42793243408,0.0,0.0,0.0,65.98202514648438,0.0,0.33302316437248947,680.51,True,202401
15660,2024-02-01,AEE,660.5699999999999,65.4897232055664,43260.546457901,42213.382672119136,0.016242728497093295,685.6605136871337,68.52098770346032,-2002.3623893737831,0.33399422706317317,5.519999999999982,True,202402
15664,2024-02-01,AWK,365.95,117.86392211914062,43132.30229949951,0.0,0.0,0.0,117.86392211914062,0.0,0.33300411454570056,365.95,True,202402
15683,2024-02-01,PEG,791.67,54.482276916503906,43131.98416648865,0.0,0.0,0.0,54.482276916503906,0.0,0.33300165839112633,791.67,True,202402
16262,2024-03-01,AES,3144.8700000000003,13.807618141174316,43423.164063634875,0.0,0.0,0.0,13.807618141174316,0.0,0.3330159149050379,3144.8700000000003,True,202403
16264,2024-03-01,AWK,384.4,113.2860336303711,43547.15132751464,41062.126790237424,0.00961706681230068,394.897216796875,117.64419776269474,-1675.2782924652113,0.33396678370992244,18.44999999999999,True,202403
16289,2024-03-01,XEL,953.42,45.544822692871094,43423.34485183716,0.0,0.0,-0.0,45.544822692871094,0.0,0.33301730138503965,953.42,True,202403
16864,2024-04-01,AWK,414.87,113.87290954589844,47242.453983306885,44467.72644958496,-0.015628863349457078,-694.9800201416015,117.36721665544238,-1449.683190536494,0.3336172852824281,30.470000000000027,True,202404
16882,2024-04-01,PCG,2891.13,16.29511833190918,47111.305462932585,0.0,0.0,-0.0,16.29511833190918,0.0,0.3326911392072996,2891.13,True,202404
16889,2024-04-01,XEL,954.99,49.480072021484375,47252.97397979737,47591.43316139221,-0.008744071506679659,-416.14289466857906,45.551292228097566,3751.945414886469,0.3336915755102723,1.57000000000005,True,202404
17525,2024-05-01,CEG,267.2,182.09713745117188,48656.35512695312,0.0,0.0,-0.0,182.09713745117188,0.0,0.33300142351011436,267.2,True,202405
17529,2024-05-01,DTE,471.21,103.26080322265625,48657.52308654785,0.0,0.0,0.0,103.26080322265625,0.0,0.3330094169614658,471.21,True,202405
